Metacritic_score,Normalized_playtime,Positive_review_threshold
0.74,0.521,1
0.73,0.383,1
0.7,0.467,1
0.79,0.379,1
0.76,0.755,1
0.72,0.654,1
0.69,0.316,0
0.64,0.013,1
0.72,0.252,1
0.73,0.53,1
0.79,0.433,1
0.83,0.652,1
0.82,0.701,1
0.67,0.612,1
0.77,0.481,1
0.83,0.412,1
0.8,0.466,0
0.8,0.469,1
0.76,0.414,1
0.8,0.435,1
0.81,0.609,0
0.67,0.434,0
0.76,0.108,1
0.76,0.532,1
0.8,0.545,1
0.77,0.217,1
0.59,0.413,1
0.74,0.22,1
0.74,0.37,0
0.7,0.046,0
0.55,0.497,1
0.84,0.428,1
0.55,0.431,0
0.71,0.901,1
0.83,0.858,1
0.57,0.598,0
0.8,0.368,1
0.88,0.614,1
0.93,0.729,1
0.76,0.515,1
0.79,0.441,0
0.88,0.523,1
0.66,0.277,1
0.84,0.359,0
0.54,0.309,1
0.81,0.688,1
0.81,0.683,0
0.68,0.296,1
0.79,0.463,1
0.52,0.225,0
0.83,0.429,1
0.74,0.414,1
0.5,0.446,1
0.8,0.055,0
0.65,0.281,0
0.72,0.382,1
0.74,0.394,1
0.8,0.685,1
0.67,0.432,0
0.78,0.552,1
0.81,0.339,1
0.71,0.377,0
0.65,0.405,1
0.64,0.498,0
0.79,0.377,1
0.67,0.392,1
0.75,0.676,1
0.77,0.444,0
0.73,0.624,1
0.81,0.396,1
0.69,0.398,1
0.79,0.329,1
0.87,0.114,1
0.81,0.361,1
0.83,0.523,1
0.72,0.404,1
0.77,0.53,1
0.78,0.35,1
0.77,0.431,1
0.7,0.339,1
0.75,0.217,1
0.85,0.601,1
0.64,0.466,0
0.68,0.403,1
0.85,0.462,1
0.69,0.49,1
0.49,0.515,1
0.86,0.297,1
0.83,0.35,1
0.61,0.136,0
0.87,0.136,1
0.8,0.359,1
0.43,0.418,0
0.83,0.39,1
0.71,0.377,1
0.76,0.524,1
0.72,0.064,0
0.72,0.228,0
0.58,0.557,0
0.55,0.424,1
0.78,0.329,1
0.68,0.422,1
0.73,0.529,1
0.89,0.493,0
0.79,0.243,1
0.79,0.055,1
0.9,0.593,1
0.69,0.567,1
0.75,0.537,1
0.68,0.599,1
0.93,0.353,1
0.77,0.383,1
0.7,0.095,0
0.64,0.303,1
0.77,0.436,1
0.77,0.36,1
0.74,0.429,1
0.69,0.513,1
0.79,0.203,0
0.52,0.56,0
0.62,0.437,1
0.55,0.474,1
0.63,0.436,1
0.87,0.552,1
0.82,0.657,1
0.53,0.574,0
0.76,0.418,1
0.83,0.854,1
0.71,0.42,0
0.76,0.8,0
0.68,0.395,0
0.77,0.464,1
0.86,0.368,1
0.78,0.417,1
0.74,0.518,1
0.71,0.458,1
0.77,0.474,1
0.76,0.563,1
0.91,0.595,1
0.92,0.297,1
0.7,0.215,0
0.77,0.561,0
0.82,0.627,1
0.75,0.534,1
0.9,0.19,1
0.89,0.537,1
0.56,0.279,0
0.43,0.277,1
0.52,0.394,0
0.78,0.428,1
0.65,0.44,0
0.8,0.402,1
0.8,0.359,1
0.72,0.494,1
0.75,0.279,0
0.78,0.4,1
0.77,0.466,1
0.72,0.444,1
0.72,0.516,1
0.81,0.466,1
0.88,0.495,1
0.73,0.516,1
0.71,0.436,1
0.87,0.385,1
0.74,0.333,1
0.45,0.528,0
0.65,0.422,1
0.81,0.399,1
0.93,0.725,1
0.59,0.473,0
0.82,0.41,1
0.89,0.606,1
0.84,0.336,1
0.61,0.444,1
0.72,0.445,1
0.81,0.493,1
0.94,0.538,1
0.71,0.518,1
0.78,0.503,0
0.76,0.416,1
0.74,0.361,1
0.81,0.387,1
0.8,0.345,1
0.84,0.479,1
0.78,0.402,1
0.83,0.475,1
0.82,0.555,1
0.65,0.373,1
0.81,0.557,1
0.69,0.363,1
0.78,0.588,0
0.71,0.55,1
0.63,0.405,0
0.83,0.462,0
0.73,0.416,1
0.68,0.431,1
0.78,0.597,1
0.72,0.315,1
0.65,0.484,1
0.66,0.42,0
0.56,0.425,1
0.77,0.423,1
0.75,0.517,1
0.75,0.693,1
0.38,0.471,1
0.75,0.473,0
0.71,0.426,1
0.73,0.506,0
0.76,0.167,0
0.74,0.398,1
0.84,0.38,1
0.89,0.452,1
0.69,0.624,1
0.65,0.646,0
0.72,0.405,0
0.67,0.283,1
0.62,0.476,1
0.8,0.535,1
0.73,0.452,1
0.76,0.535,1
0.65,0.736,0
0.4,0.406,0
0.76,0.446,1
0.84,0.468,1
0.83,0.393,1
0.8,0.46,1
0.67,0.423,0
0.61,0.432,0
0.62,0.5,0
0.81,0.591,1
0.75,0.619,1
0.53,0.24,0
0.82,0.637,1
0.59,0.474,1
0.7,0.366,1
0.85,0.578,1
0.88,0.08,0
0.82,0.455,1
0.6,0.425,1
0.75,0.435,1
0.66,0.425,1
0.78,0.383,1
0.58,0.428,1
0.72,0.418,1
0.76,0.443,0
0.9,0.394,1
0.83,0.343,1
0.68,0.502,1
0.75,0.481,1
0.68,0.344,1
0.66,0.563,0
0.82,0.525,1
0.72,0.461,0
0.8,0.196,1
0.41,0.499,0
0.68,0.394,1
0.53,0.281,0
0.87,0.818,1
0.76,0.485,1
0.67,0.583,0
0.58,0.588,0
0.76,0.4,1
0.63,0.423,0
0.69,0.449,0
0.9,0.65,1
0.77,0.447,1
0.8,0.428,1
0.69,0.046,0
0.75,0.509,1
0.8,0.554,1
0.75,0.414,1
0.83,0.465,1
0.84,0.08,1
0.73,0.381,1
0.82,0.435,1
0.83,0.209,1
0.74,0.463,1
0.5,0.393,0
0.55,0.055,1
0.76,0.357,1
0.73,0.329,0
0.69,0.405,1
0.85,0.49,1
0.72,0.694,0
0.74,0.346,1
0.83,0.753,1
0.57,0.436,0
0.76,0.236,1
0.73,0.377,1
0.85,0.141,1
0.82,0.563,1
0.57,0.378,0
0.9,0.131,0
0.81,0.615,1
0.8,0.167,1
0.74,0.272,1
0.86,0.511,1
0.66,0.394,0
0.62,0.521,0
0.81,0.371,1
0.78,0.617,1
0.68,0.367,1
0.66,0.496,1
0.78,0.623,1
0.57,0.483,0
0.75,0.724,1
0.52,0.443,0
0.76,0.826,0
0.72,0.289,1
0.81,0.674,1
0.81,0.412,1
0.74,0.408,1
0.68,0.436,1
0.64,0.12,0
0.74,0.343,1
0.84,1.0,1
0.76,0.433,1
0.65,0.203,1
0.87,0.548,1
0.7,0.403,1
0.38,0.114,0
0.63,0.266,0
