Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.73,0.394,0.136,0
0.44,0.384,0.136,0
0.85,0.151,0.079,1
0.71,0.538,0.856,0
0.87,0.136,0.28,1
0.79,0.412,0.136,1
0.77,0.546,0.424,0
0.71,0.368,0.208,1
0.78,0.329,0.424,1
0.73,0.183,0.136,1
0.68,0.448,0.712,0
0.61,0.151,0.136,0
0.7,0.404,0.28,0
0.77,0.481,0.424,1
0.84,0.5,0.136,1
0.76,0.532,0.136,0
0.86,0.589,0.424,1
0.78,0.512,0.28,1
0.76,0.274,0.136,0
0.6,0.761,0.064,1
0.89,0.594,0.568,1
0.73,0.443,0.28,1
0.62,0.376,0.252,0
0.81,0.423,0.136,1
0.66,0.607,0.424,1
0.88,0.612,0.352,1
0.77,0.537,0.136,1
0.77,0.362,0.424,1
0.62,0.563,0.424,0
0.75,0.533,0.208,0
0.77,0.343,0.021,1
0.85,0.036,0.136,1
0.81,0.69,0.856,0
0.69,0.252,0.136,1
0.77,0.39,0.064,0
0.78,0.381,0.165,1
0.74,0.462,0.136,0
0.84,0.565,0.352,1
0.85,0.435,0.136,1
0.56,0.53,0.136,0
0.79,0.661,0.093,1
0.89,0.494,0.28,0
0.68,0.604,0.208,0
0.83,0.5,0.28,1
0.68,0.451,0.28,1
0.78,0.661,0.568,0
0.65,0.609,0.28,0
0.81,0.835,0.424,0
0.59,0.465,0.18,0
0.7,0.088,0.136,0
0.83,0.819,0.568,1
0.84,0.4,0.28,1
0.59,0.073,0.424,1
0.64,0.555,0.136,0
0.69,0.12,0.064,0
0.66,0.395,0.28,0
0.69,0.674,0.424,0
0.53,0.241,0.28,0
0.82,0.013,0.208,0
0.76,0.515,0.28,1
0.82,0.469,0.28,1
0.7,0.34,0.136,1
0.76,0.356,0.352,1
0.2,0.463,0.208,0
0.7,0.64,0.424,0
0.8,0.501,0.28,1
0.55,0.231,0.424,0
0.8,0.639,0.568,1
0.8,0.43,0.007,0
0.83,0.483,0.496,1
0.86,0.398,0.28,1
0.93,0.508,0.28,1
0.45,0.337,0.027,0
0.73,0.661,0.568,0
0.75,0.406,0.208,1
0.73,0.141,0.108,0
0.81,0.159,0.021,0
0.71,0.507,0.064,0
0.87,0.187,0.122,0
0.94,0.499,0.208,1
0.66,0.491,0.28,0
0.5,0.347,0.208,0
0.84,0.598,0.28,1
0.62,0.434,0.064,0
0.75,0.407,0.064,0
0.71,0.466,0.011,0
0.88,0.368,0.208,1
0.81,0.536,0.28,1
0.7,0.404,0.068,0
0.8,0.439,0.208,1
0.75,0.073,0.568,0
0.75,0.346,0.856,1
0.76,0.41,0.352,0
0.71,0.276,0.01,0
0.75,0.505,0.28,0
0.76,0.487,0.136,0
0.64,0.506,0.28,0
0.88,0.436,0.28,1
0.8,0.36,0.136,1
0.78,0.454,0.021,1
0.85,0.482,0.28,1
0.76,0.358,0.093,0
0.76,0.45,0.352,1
0.66,0.497,0.568,1
0.73,0.013,0.136,0
0.78,0.537,0.28,1
0.76,0.427,0.424,0
0.72,0.411,0.108,1
0.41,0.5,0.136,0
0.73,0.423,0.28,0
0.76,0.197,0.18,0
0.65,0.423,0.28,0
0.74,0.556,0.424,0
0.73,0.376,0.208,0
0.84,0.114,0.28,0
0.8,0.525,0.136,0
0.67,0.337,0.136,0
0.55,0.423,0.036,0
0.79,0.355,0.352,0
0.74,0.309,0.424,0
0.65,0.483,0.208,0
0.84,0.419,0.28,1
0.75,0.455,0.05,1
0.64,0.417,0.036,0
0.61,0.429,0.208,0
0.84,0.541,0.352,1
0.78,0.46,0.424,1
0.69,0.317,0.064,0
0.69,0.571,0.424,0
0.65,0.317,0.007,0
0.59,0.395,0.136,0
0.51,0.443,0.093,0
0.76,0.445,0.136,0
0.85,0.397,0.208,1
0.73,0.56,0.856,0
0.83,0.309,0.28,1
0.72,0.443,0.208,0
0.86,0.391,0.057,1
0.82,0.543,0.208,1
0.69,0.437,0.136,0
0.83,0.43,0.136,1
0.84,0.53,0.424,1
0.75,0.359,0.108,1
0.57,0.324,0.064,0
0.67,0.482,0.28,0
0.73,0.453,0.136,0
0.66,0.259,0.05,0
0.86,0.534,0.136,1
0.67,0.384,0.064,0
0.57,0.424,0.021,0
0.76,0.491,0.208,0
0.78,0.423,0.28,1
0.77,0.361,0.036,1
0.83,0.86,0.856,1
0.68,0.689,0.223,0
0.73,0.336,0.352,1
0.73,0.459,0.064,0
0.64,0.719,0.18,1
0.73,0.626,0.28,1
0.85,0.568,0.856,1
0.89,0.538,0.28,1
0.79,0.429,0.28,1
0.53,0.4,0.136,0
0.71,0.43,0.28,0
